Country,City,HijriYear,HijriMonth,HijriMonthName,GregorianStartDate,GregorianYear,Authority,Method,SourceURL,ConfidenceScore,Notes,RecordId
South Africa,Pretoria,1446,9,Ramadan,2025-03-02,2025,,SightingConfirmed,https://www.moonsighting.com,0.8,moonsighting.com: Sighting,488b122d0c2320d6
South Africa,Pretoria,1446,10,Shawwal,2025-03-31,2025,,SightingConfirmed,https://www.moonsighting.com,0.8,moonsighting.com: Sighting,8b6dc7245f4c6464
South Africa,Pretoria,1446,11,Dhu al-Qadah,,,,,,,,5044f48f122604b1
South Africa,Pretoria,1446,12,Dhu al-Hijjah,2025-05-28,2025,,SightingConfirmed,https://www.moonsighting.com,0.8,moonsighting.com: Sighting,bb316b7c2368f903
South Africa,Pretoria,1447,1,Muharram,,,,,,,,464be4ce367ea35f
South Africa,Pretoria,1447,2,Safar,,,,,,,,ac8af190016c1aab
South Africa,Pretoria,1447,3,Rabi al-Awwal,,,,,,,,85831593ae7054dd
South Africa,Pretoria,1447,4,Rabi al-Thani,,,,,,,,336dda7eeceece19
South Africa,Pretoria,1447,5,Jumada al-Ula,,,,,,,,a404df54882befe6
South Africa,Pretoria,1447,6,Jumada al-Akhirah,,,,,,,,856d9d72171e15d5
South Africa,Pretoria,1447,7,Rajab,,,,,,,,d7513734910601ee
South Africa,Pretoria,1447,8,Shaban,,,,,,,,1e0224e08d3b92fb
South Africa,Pretoria,1447,9,Ramadan,2026-02-19,2026,,SightingConfirmed,https://www.moonsighting.com,0.8,moonsighting.com: Sighting,f3ae67e71a4ad0db
South Africa,Pretoria,1447,10,Shawwal,2026-03-21,2026,,SightingConfirmed,https://www.moonsighting.com,0.8,moonsighting.com: Sighting,8d57fbd4c3c9ef83
South Africa,Pretoria,1447,11,Dhu al-Qadah,,,,,,,,e79be5af2c0ab788
South Africa,Pretoria,1447,12,Dhu al-Hijjah,2026-05-18,2026,,SightingConfirmed,https://www.moonsighting.com,0.8,moonsighting.com: Sighting,c0ad8d7b40e9cbfe
Nigeria,Abuja,1400,1,Muharram,,,,,,,,5daae618d7c4b498
Nigeria,Abuja,1400,2,Safar,,,,,,,,e9ff3d7947146214
Nigeria,Abuja,1400,3,Rabi al-Awwal,,,,,,,,a9a9508fb902f6af
Nigeria,Abuja,1400,4,Rabi al-Thani,,,,,,,,1dd43d25d32be1de
Nigeria,Abuja,1400,5,Jumada al-Ula,,,,,,,,008f75d85aa753a0
Nigeria,Abuja,1400,6,Jumada al-Akhirah,,,,,,,,7f1558486dc0fcb2
Nigeria,Abuja,1400,7,Rajab,,,,,,,,25e5a41c9a233ed4
Nigeria,Abuja,1400,8,Shaban,,,,,,,,d030494fd1e45c2a
Nigeria,Abuja,1400,9,Ramadan,,,,,,,,106eee7264de82d9
Nigeria,Abuja,1400,10,Shawwal,,,,,,,,8547f35c6dabbeb4
